,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,puzzle,astar_f_close_list,wstar100_f_close_list,wstar10_f_close_list,wstar5_f_close_list,wstar2_5_f_close_list,wstar3_f_close_list,wstar2_f_close_list,wstar1_5_f_close_list,wstar1_1_f_close_list,y_star3_f_close_list,maor_f_close_list,maor2_f_close_list,astar_f_len,wstar100_f_len,wstar10_f_len,wstar5_f_len,wstar2_5_f_len,wstar3_f_len,wstar2_f_len,wstar1_5_f_len,wstar1_1_f_len,y_star3_f_len,maor_f_len,maor2_f_len
0,0,0.0,0.0,0.0,"(6, 1, 8, 4, 3, 2, 7, 5, '_')",337.0,736.0,544.0,1401.0,1505.0,1507.0,758.0,416.0,306.0,232.0,305.0,337.0,18.0,52.0,40.0,44.0,26.0,26.0,20.0,18.0,18.0,18.0,18.0,18.0
1,1,1.0,1.0,1.0,"(2, 6, 1, 7, 3, 4, 5, 8, '_')",375.0,362.0,312.0,593.0,1571.0,1704.0,291.0,222.0,222.0,263.0,227.0,207.0,18.0,38.0,32.0,32.0,22.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0
2,2,2.0,2.0,2.0,"(8, 6, 3, 7, 1, 4, 5, 2, '_')",8564.0,783.0,718.0,535.0,474.0,342.0,1944.0,7136.0,7213.0,7079.0,8259.0,6995.0,26.0,54.0,46.0,32.0,30.0,30.0,30.0,28.0,26.0,26.0,26.0,26.0
3,3,3.0,3.0,3.0,"(3, 2, 6, 8, 4, 1, 7, 5, '_')",11886.0,715.0,777.0,526.0,4227.0,4236.0,4205.0,5729.0,6035.0,7183.0,11839.0,6393.0,26.0,56.0,54.0,36.0,30.0,26.0,30.0,26.0,26.0,26.0,26.0,26.0
4,4,4.0,4.0,4.0,"(6, 5, 7, 1, 2, 8, 4, 3, '_')",3330.0,273.0,273.0,282.0,1028.0,1147.0,775.0,468.0,1266.0,2625.0,2592.0,1906.0,24.0,40.0,40.0,40.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0
5,5,5.0,5.0,5.0,"(2, 7, 5, 6, 1, 8, 3, 4, '_')",6678.0,698.0,775.0,493.0,138.0,138.0,1801.0,1245.0,2289.0,2717.0,5963.0,3915.0,26.0,54.0,44.0,34.0,34.0,34.0,28.0,28.0,26.0,26.0,26.0,26.0
6,6,6.0,6.0,6.0,"(7, 6, 3, 5, 1, 4, 8, 2, '_')",4074.0,358.0,913.0,841.0,485.0,1193.0,1053.0,1670.0,1922.0,2422.0,3618.0,2034.0,24.0,46.0,56.0,38.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
7,7,7.0,7.0,7.0,"(6, 7, 8, 3, 1, 5, 4, 2, '_')",5193.0,285.0,321.0,139.0,139.0,136.0,171.0,548.0,1887.0,2278.0,3891.0,1930.0,26.0,54.0,54.0,32.0,32.0,32.0,28.0,26.0,26.0,26.0,26.0,26.0
8,8,8.0,8.0,8.0,"(7, 5, 1, 6, 8, 4, 2, 3, '_')",2203.0,284.0,300.0,424.0,394.0,820.0,382.0,658.0,861.0,1070.0,1596.0,1374.0,24.0,40.0,40.0,40.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
9,9,9.0,9.0,9.0,"(7, 3, 4, 6, 5, 1, 8, 2, '_')",2826.0,736.0,636.0,900.0,1064.0,1190.0,2121.0,532.0,926.0,1597.0,1945.0,1929.0,24.0,60.0,46.0,42.0,32.0,32.0,24.0,24.0,24.0,24.0,24.0,24.0
10,10,10.0,10.0,10.0,"(8, 3, 2, 4, 6, 7, 5, 1, '_')",4046.0,240.0,273.0,599.0,280.0,1817.0,778.0,1853.0,2099.0,2127.0,3435.0,2230.0,24.0,40.0,40.0,32.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0
11,11,11.0,11.0,11.0,"(8, 6, 2, 3, 1, 5, 7, 4, '_')",3800.0,851.0,1033.0,298.0,1371.0,3163.0,1013.0,1640.0,1959.0,2957.0,3278.0,3077.0,24.0,58.0,50.0,40.0,30.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
12,12,12.0,12.0,12.0,"(1, 8, 7, 3, 6, 2, 5, 4, '_')",707.0,706.0,481.0,212.0,371.0,250.0,304.0,674.0,683.0,687.0,683.0,687.0,22.0,52.0,30.0,30.0,26.0,28.0,26.0,26.0,22.0,22.0,22.0,22.0
13,13,13.0,13.0,13.0,"(7, 6, 8, 2, 3, 4, 5, 1, '_')",185.0,895.0,805.0,238.0,841.0,488.0,348.0,255.0,170.0,170.0,186.0,170.0,20.0,64.0,60.0,36.0,30.0,34.0,30.0,20.0,20.0,20.0,20.0,20.0
14,14,14.0,14.0,14.0,"(7, 6, 2, 1, 4, 5, 3, 8, '_')",9899.0,198.0,198.0,214.0,1000.0,773.0,1482.0,3484.0,5071.0,5139.0,9775.0,5388.0,26.0,32.0,32.0,32.0,32.0,32.0,28.0,28.0,26.0,26.0,26.0,26.0
15,15,15.0,15.0,15.0,"(1, 5, 4, 6, 7, 2, 8, 3, '_')",1782.0,410.0,362.0,718.0,1451.0,1332.0,1539.0,1671.0,1372.0,1188.0,1379.0,1410.0,22.0,44.0,44.0,32.0,24.0,24.0,26.0,22.0,22.0,22.0,22.0,22.0
16,16,16.0,16.0,16.0,"(3, 8, 6, 7, 4, 5, 1, 2, '_')",1570.0,677.0,419.0,551.0,1470.0,1149.0,467.0,233.0,567.0,893.0,994.0,980.0,22.0,58.0,44.0,44.0,28.0,28.0,22.0,22.0,22.0,22.0,22.0,22.0
17,17,17.0,17.0,17.0,"(6, 7, 4, 1, 5, 2, 8, 3, '_')",1331.0,789.0,897.0,200.0,904.0,405.0,378.0,444.0,538.0,936.0,711.0,703.0,22.0,54.0,46.0,32.0,22.0,32.0,22.0,22.0,22.0,22.0,22.0,22.0
